1,1,1,110
2,4.5,1,147
3,5,1,858
4,5,1,1221
5,5,1,1246
6,4,1,1968
7,4.5,1,2762
8,5,1,2918
9,4,1,2959
10,4,1,4226
11,5,1,4878
12,5,1,5577
13,4,1,33794
14,3.5,1,54503
15,4,1,58559
16,5,1,59315
17,5,1,68358
18,5,1,69844
19,5,1,73017
20,5,1,81834
21,2.5,1,91500
22,5,1,91542
23,5,1,92439
24,5,1,96821
25,0.5,1,98809
26,4,1,99114
27,5,1,112552
28,3,2,5
29,3,2,25
30,2,2,32
31,3,2,58
32,4,2,64
33,4,2,79
34,3,2,141
35,4,2,260
36,5,2,339
37,4,2,377
38,4,2,605
39,4,2,628
40,4,2,648
41,3,2,762
42,3,2,780
43,1,2,786
44,1,2,788
45,4,2,1210
46,4,2,1233
47,5,2,1356
48,3,2,1475
49,2,2,1552
50,3,3,480
51,2,3,500
52,4,3,527
53,4,3,858
54,3,3,1092
55,3,3,1097
56,3,3,1270
57,3,3,1968
58,3,3,3101
59,3,3,4474
60,4,4,223
61,4,4,415
62,4,4,648
63,5,4,1097
64,4,4,1197
65,2,4,1210
66,5,4,1221
67,4,4,1422
68,3,4,1431
69,3,4,1597
70,4,4,1617
71,3,4,1644
72,4,4,1645
73,3,4,1732
74,4,4,1909
75,4,4,1911
76,5,4,2023
77,2,4,2338
78,4,4,2355
79,5,4,2396
80,4,4,2443
81,3,4,2541
82,3,4,2581
83,3,4,2683
84,4,4,2692
85,1,4,2694
86,4,4,2706
87,2,4,2710
88,3,4,2712
89,4,4,2716
90,5,4,2762
91,4,4,2763
92,3,4,2805
93,4,4,2875
94,3,4,2881
95,4,4,2987
96,1,4,3004
97,3,4,3005
98,5,4,3114
99,4,4,3160
100,4,4,3203
101,3,4,3285
102,3,4,3298
103,5,4,3408
104,2,4,3409
105,4,4,3476
106,4,4,3578
107,2,4,3623
108,4,4,3751
109,3,4,3752
110,4,4,3753
111,4,4,3798
112,2,4,3908
113,3,4,3909
114,3,4,3977
